year,country,purpose,mode,duration,age,visits_thousand,nights_thousand,millions_spent
2007,France,Business,Air,1-3 nights,25-34,2.91,2.95,0.63
2007,France,Business,Air,1-3 nights,35-44,1.57,1.92,0.21
2007,France,Business,Air,1-3 nights,45-54,1.32,4.01,0.62
2007,France,Business,Air,15+ nights,35-44,0.27,5.22,0.0
2007,France,Business,Sea,1-3 nights,35-44,2.73,2.75,0.0
2007,France,Business,Sea,4-7 nights,55-64,0.16,1.14,0.08
2007,France,Business,Tunnel,1-3 nights,45-54,2.14,6.45,0.03
2007,France,VFR,Air,1-3 nights,25-34,1.37,2.79,0.07
2007,France,VFR,Air,1-3 nights,45-54,0.77,1.56,0.15
2007,France,VFR,Air,4-7 nights,35-44,0.77,4.67,0.07
2007,France,VFR,Air,4-7 nights,45-54,1.84,13.08,0.03
2007,France,VFR,Air,8-14 nights,35-44,1.11,12.35,0.3
2007,France,VFR,Air,8-14 nights,55-64,1.11,12.36,0.24
2007,France,VFR,Sea,4-7 nights,35-44,0.16,1.13,0.02
2007,France,VFR,Sea,8-14 nights,55-64,1.96,8.58,0.26
2007,France,VFR,Sea,15+ nights,55-64,1.79,20.91,0.35
2007,France,VFR,Tunnel,1-3 nights,16-24,0.54,1.62,0.11
2007,France,VFR,Tunnel,8-14 nights,25-34,1.06,5.89,0.07
2007,France,Study,Air,15+ nights,16-24,2.2,185.89,4.89
2008,France,Holiday,Air,4-7 nights,0-15,3.97,27.76,1.94
2008,France,Holiday,Sea,1-3 nights,0-15,0.54,1.71,0.07
2008,France,Holiday,Sea,1-3 nights,16-24,2.71,8.54,0.37
2008,France,Holiday,Tunnel,1-3 nights,25-34,0.92,2.7,0.09
2008,France,Business,Air,1-3 nights,25-34,4.35,8.18,3.6
2008,France,Business,Air,1-3 nights,45-54,4.35,4.09,0.9
2008,France,Business,Air,1-3 nights,55-64,1.39,1.89,0.31
2008,France,Business,Air,4-7 nights,25-34,1.19,5.58,0.61
2008,France,Business,Air,4-7 nights,35-44,0.84,5.53,0.34
2008,France,VFR,Air,4-7 nights,25-34,1.09,7.87,0.02
2008,France,VFR,Air,4-7 nights,45-54,2.64,15.18,0.45
2008,France,VFR,Air,4-7 nights,55-64,4.45,32.1,1.01
2008,France,Study,Air,15+ nights,16-24,0.77,58.98,2.31
2008,France,Other,Air,1-3 nights,25-34,0.76,1.53,0.13
2008,France,Other,Air,1-3 nights,55-64,1.68,5.11,0.91
2008,France,Other,Sea,8-14 nights,35-44,5.77,75.06,0.58
2008,France,Other,Sea,8-14 nights,45-54,5.77,75.06,0.23
2008,France,Holiday,Air,1-3 nights,25-34,2.51,5.04,1.04
2008,France,Holiday,Air,4-7 nights,25-34,8.92,35.81,3.23
2008,France,Holiday,Air,4-7 nights,45-54,1.39,5.56,0.08
2008,France,Holiday,Air,4-7 nights,55-64,1.39,5.56,0.09
2008,France,Holiday,Air,8-14 nights,25-34,1.39,13.9,0.32
2008,France,Holiday,Air,8-14 nights,45-54,1.71,20.55,1.3
2008,France,Holiday,Sea,1-3 nights,0-15,3.02,9.07,0.69
2008,France,Holiday,Sea,1-3 nights,25-34,0.14,0.27,0.02
2008,France,Holiday,Sea,4-7 nights,0-15,3.02,12.09,0.55
2008,France,Holiday,Sea,4-7 nights,55-64,1.54,8.94,0.33
2008,France,Holiday,Sea,8-14 nights,0-15,1.54,13.41,0.15
2008,France,Holiday,Tunnel,4-7 nights,0-15,12.14,48.58,2.05
2008,France,Holiday,Tunnel,4-7 nights,25-34,0.69,0.66,0.05
2008,France,Holiday,Tunnel,4-7 nights,35-44,0.76,1.46,0.07
2008,France,Business,Air,1-3 nights,25-34,1.3,1.6,0.21
2008,France,Business,Air,1-3 nights,35-44,1.33,3.29,0.16
2008,France,Business,Air,1-3 nights,55-64,1.8,4.46,0.41
2008,France,Business,Air,4-7 nights,35-44,1.31,8.12,1.02
2008,France,Business,Sea,4-7 nights,25-34,1.44,5.56,0.15
2008,France,Business,Sea,8-14 nights,16-24,0.45,6.16,0.45
2008,France,VFR,Air,1-3 nights,0-15,2.29,6.86,0.59
2008,France,VFR,Air,1-3 nights,16-24,1.26,3.79,0.08
2008,France,VFR,Air,1-3 nights,35-44,1.26,2.52,0.14
2008,France,VFR,Air,1-3 nights,45-54,1.08,2.16,0.04
2008,France,VFR,Air,1-3 nights,55-64,1.26,2.52,0.14
2008,France,VFR,Air,1-3 nights,65+,0.69,2.08,0.01
2008,France,VFR,Air,4-7 nights,0-15,2.29,16.01,0.32
2008,France,VFR,Air,4-7 nights,25-34,1.0,5.02,0.05
2008,France,VFR,Air,4-7 nights,35-44,2.29,9.15,0.19
2008,France,VFR,Air,4-7 nights,45-54,3.47,11.03,1.4
2008,France,VFR,Air,4-7 nights,65+,1.26,5.05,0.02
2008,France,VFR,Air,8-14 nights,35-44,1.11,2.22,0.03
2008,France,VFR,Air,8-14 nights,55-64,0.87,8.69,0.27
2008,France,VFR,Sea,4-7 nights,35-44,0.27,1.68,0.03
2008,France,VFR,Sea,8-14 nights,0-15,0.47,4.06,0.16
2008,France,VFR,Sea,8-14 nights,65+,1.3,2.5,0.04
2008,France,Study,Air,15+ nights,16-24,3.21,178.61,2.17
2008,France,Other,Air,1-3 nights,16-24,1.27,1.2,0.02
2008,France,Holiday,Air,1-3 nights,25-34,0.77,2.31,0.19
2008,France,Holiday,Air,4-7 nights,0-15,2.2,8.28,0.7
2008,France,Holiday,Air,4-7 nights,25-34,4.02,25.66,2.36
2008,France,Holiday,Air,4-7 nights,35-44,2.74,15.46,1.06
2008,France,Holiday,Air,4-7 nights,45-54,2.87,16.22,1.05
2008,France,Holiday,Air,4-7 nights,65+,0.8,5.27,0.41
2008,France,Holiday,Air,8-14 nights,16-24,2.74,31.78,1.17
2008,France,Holiday,Air,8-14 nights,25-34,0.91,8.59,0.28
2008,France,Holiday,Air,8-14 nights,35-44,0.91,6.87,0.55
2008,France,Holiday,Air,8-14 nights,65+,0.91,12.03,0.76
2008,France,Holiday,Air,15+ nights,0-15,2.2,35.2,1.06
2008,France,Holiday,Air,15+ nights,25-34,0.91,13.74,0.52
2008,France,Holiday,Air,15+ nights,35-44,1.19,15.71,0.22
2008,France,Holiday,Sea,4-7 nights,0-15,2.65,15.77,0.57
2008,France,Holiday,Sea,4-7 nights,25-34,0.41,1.66,0.18
2008,France,Holiday,Sea,4-7 nights,45-54,1.71,10.34,1.45
2008,France,Holiday,Sea,4-7 nights,55-64,1.67,11.55,1.18
2008,France,Holiday,Sea,8-14 nights,25-34,2.79,13.87,0.29
2008,France,Holiday,Sea,8-14 nights,35-44,0.24,2.53,0.26
2008,France,Holiday,Sea,8-14 nights,45-54,0.6,6.57,0.16
2008,France,Holiday,Sea,8-14 nights,55-64,0.45,3.59,0.55
2008,France,Holiday,Sea,15+ nights,0-15,1.33,13.14,0.44
2008,France,Holiday,Sea,15+ nights,45-54,3.1,43.85,0.89
2008,France,Holiday,Sea,15+ nights,55-64,1.48,28.13,1.41
2008,France,Holiday,Sea,15+ nights,65+,1.67,7.23,0.11
2008,France,Holiday,Tunnel,4-7 nights,45-54,1.17,3.47,0.0
2008,France,Holiday,Tunnel,15+ nights,45-54,2.83,47.63,0.28
2008,France,Business,Air,1-3 nights,35-44,1.9,1.92,0.06
2008,France,Business,Air,1-3 nights,45-54,2.65,5.37,0.79
2008,France,Business,Air,1-3 nights,55-64,1.9,1.92,0.03
2008,France,Business,Air,15+ nights,25-34,1.9,40.32,3.84
2008,France,VFR,Air,4-7 nights,25-34,4.07,20.6,0.4
2008,France,VFR,Air,4-7 nights,55-64,2.9,10.92,0.04
2008,France,VFR,Sea,8-14 nights,35-44,1.36,18.93,0.28
2008,France,VFR,Sea,8-14 nights,65+,1.31,6.52,0.44
2008,France,VFR,Sea,15+ nights,25-34,0.13,2.14,0.06
2008,France,VFR,Tunnel,1-3 nights,25-34,0.7,1.4,1.42
2008,France,VFR,Tunnel,8-14 nights,0-15,1.05,8.33,0.32
2008,France,Other,Sea,1-3 nights,35-44,1.33,1.31,0.27
2008,France,Other,Sea,4-7 nights,45-54,1.33,6.54,1.33
2008,France,Holiday,Air,4-7 nights,25-34,1.51,13.02,0.32
2008,France,Holiday,Air,4-7 nights,35-44,4.87,32.97,4.6
2008,France,Holiday,Sea,15+ nights,45-54,0.55,12.14,0.42
2008,France,Business,Air,1-3 nights,35-44,2.06,5.99,0.54
2008,France,Business,Air,1-3 nights,45-54,1.44,2.87,0.88
2008,France,Business,Air,4-7 nights,25-34,2.06,7.98,1.04
2008,France,Business,Air,4-7 nights,55-64,1.35,3.93,0.02
2008,France,VFR,Air,1-3 nights,25-34,2.25,4.47,0.26
2008,France,VFR,Air,4-7 nights,25-34,0.8,3.17,0.21
2008,France,VFR,Air,4-7 nights,55-64,4.51,13.41,0.51
2008,France,VFR,Air,4-7 nights,65+,1.04,7.21,0.53
2008,France,VFR,Air,8-14 nights,16-24,1.65,14.69,1.01
2008,France,VFR,Air,8-14 nights,25-34,2.25,29.05,0.18
2008,France,VFR,Air,15+ nights,16-24,2.25,69.28,0.03
2008,France,VFR,Sea,8-14 nights,16-24,3.32,6.33,0.27
2008,France,VFR,Sea,8-14 nights,55-64,0.96,7.35,0.03
2008,France,VFR,Tunnel,8-14 nights,16-24,0.55,4.71,0.0
2008,France,Study,Air,15+ nights,16-24,1.97,86.57,3.96
2009,France,Holiday,Air,1-3 nights,16-24,2.600418769,7.392637317,0.695853287
2009,France,Holiday,Air,1-3 nights,25-34,8.450503827,19.76815704,2.032216701
2009,France,Holiday,Air,1-3 nights,45-54,3.219239553,9.782180805,1.111530706
2009,France,Holiday,Air,1-3 nights,55-64,3.219239553,6.52145387,1.325532308
2009,France,Holiday,Air,4-7 nights,16-24,3.219239553,22.82508854,1.964343058
2009,France,Holiday,Air,4-7 nights,35-44,2.195507747,12.20021631,0.627751694
2009,France,Holiday,Sea,4-7 nights,0-15,0.178703299,0.714813195,0.058793385
2009,France,Holiday,Tunnel,1-3 nights,65+,1.753526446,3.324997942,0.130620895
2009,France,Holiday,Tunnel,4-7 nights,0-15,1.753526446,11.6374928,0.261241789
2009,France,Business,Air,1-3 nights,35-44,8.946974138,16.69006879,2.778861392
2009,France,Business,Air,1-3 nights,45-54,8.496351939,8.12945293,1.698454131
2009,France,Business,Air,4-7 nights,55-64,0.529174702,3.434044873,0.357721412
2009,France,VFR,Air,1-3 nights,16-24,5.834446432,11.9701626,0.49555379
2009,France,VFR,Air,1-3 nights,35-44,2.364345542,4.850777349,0.218406284
2009,France,VFR,Air,4-7 nights,16-24,3.452472507,14.16643645,0.478382925
2009,France,VFR,Air,4-7 nights,25-34,3.452472507,14.16643645,0.40751138
2009,France,VFR,Air,8-14 nights,16-24,0.433138588,2.665928664,0.018100283
2009,France,VFR,Air,15+ nights,45-54,3.991328268,107.6133167,1.233956756
2009,France,VFR,Air,15+ nights,65+,0.750239507,15.39218673,0.267679534
2009,France,VFR,Sea,15+ nights,65+,0.206615217,7.383568461,0.0
2009,France,Holiday,Air,1-3 nights,35-44,0.999021324,1.918786789,0.283581674
2009,France,Holiday,Air,4-7 nights,16-24,1.452713145,8.106332777,0.484859596
2009,France,Holiday,Air,4-7 nights,45-54,4.960683033,27.55243999,2.184528741
2009,France,Holiday,Air,4-7 nights,55-64,1.808241101,6.154235404,0.755693593
2009,France,Holiday,Air,4-7 nights,65+,3.712914255,14.26254005,0.194520218
2009,France,Holiday,Air,8-14 nights,35-44,4.455500533,34.23012244,1.464207859
2009,France,Holiday,Air,8-14 nights,45-54,7.675952305,87.55956007,7.070824217
2009,France,Holiday,Air,8-14 nights,55-64,3.712914255,49.91889016,4.650801579
2009,France,Holiday,Air,8-14 nights,65+,3.156593704,31.56593704,2.866187083
2009,France,Holiday,Sea,4-7 nights,0-15,3.779308515,18.43746056,1.851919104
2009,France,Holiday,Sea,4-7 nights,16-24,1.182669134,4.66546373,0.221527927
2009,France,Holiday,Sea,4-7 nights,25-34,1.263699457,3.664807577,0.181410205
2009,France,Holiday,Sea,8-14 nights,0-15,0.361036744,2.79207779,0.022624962
2009,France,Holiday,Sea,8-14 nights,35-44,0.305723503,1.520661833,0.072136858
2009,France,Holiday,Sea,8-14 nights,55-64,1.263699457,17.10243536,1.651149196
2009,France,Holiday,Sea,8-14 nights,65+,1.56942296,16.17989214,0.488850036
2009,France,Holiday,Tunnel,15+ nights,35-44,0.455776513,11.89602391,0.273456393
2009,France,Business,Air,1-3 nights,35-44,2.328438921,2.859354183,0.483840947
2009,France,Business,Air,1-3 nights,55-64,0.110185803,0.212855801,0.02312557
2009,France,Business,Air,4-7 nights,16-24,3.411252733,16.47455729,0.21644901
2009,France,Business,Air,4-7 nights,25-34,0.111291494,0.429983526,0.039653652
2009,France,Business,Air,15+ nights,25-34,0.637812613,2.464239682,0.039836008
2009,France,Business,Sea,4-7 nights,35-44,1.262059468,1.225112769,0.009434342
2009,France,Business,Sea,4-7 nights,55-64,0.080745239,0.313525711,0.012301459
2009,France,Business,Sea,8-14 nights,35-44,0.352342062,2.736218189,0.032923103
2009,France,VFR,Air,1-3 nights,35-44,3.296869388,9.963804127,0.875599069
2009,France,VFR,Sea,8-14 nights,0-15,2.23566642,21.86870559,0.136117363
2009,France,VFR,Sea,8-14 nights,55-64,1.11783321,14.21465863,0.36828254
2009,France,Study,Air,8-14 nights,16-24,0.176879815,4.17692025,0.680059937
2009,France,Other,Air,15+ nights,16-24,0.115191423,11.6366418,0.05123127
2009,France,Holiday,Air,1-3 nights,25-34,4.264490588,10.17129429,1.091020612
2009,France,Holiday,Air,1-3 nights,45-54,2.310526617,6.725508679,0.713916525
2009,France,Holiday,Air,1-3 nights,55-64,0.594665235,1.153972481,0.023332348
2009,France,Holiday,Air,4-7 nights,0-15,0.457842795,3.109620075,0.09655633
2009,France,Holiday,Air,4-7 nights,16-24,3.368923768,16.15586695,1.081822103
2009,France,Holiday,Air,4-7 nights,25-34,2.116794302,14.37704409,0.913602416
2009,France,Holiday,Air,4-7 nights,35-44,1.953963971,13.27111762,0.67561857
2009,France,Holiday,Air,4-7 nights,45-54,3.206093437,14.68495003,0.621683084
2009,France,Holiday,Air,8-14 nights,0-15,8.059307636,104.9487641,2.977454861
2009,France,Holiday,Air,8-14 nights,16-24,0.876188343,4.728753334,0.246168266
2009,France,Holiday,Air,8-14 nights,25-34,4.870664286,53.24761695,2.41724976
2009,France,Holiday,Air,8-14 nights,45-54,1.058397151,10.26931721,0.53466505
2009,France,Holiday,Air,8-14 nights,55-64,0.594665235,6.923834887,0.708720072
2009,France,Holiday,Air,15+ nights,16-24,1.058397151,42.10420055,1.184568587
2009,France,Holiday,Air,15+ nights,45-54,1.058397151,21.56556614,2.517597566
2009,France,Holiday,Sea,1-3 nights,65+,0.072968181,0.218904542,0.047502286
2009,France,Holiday,Sea,4-7 nights,45-54,0.07813704,0.312548161,0.052320562
2009,France,Holiday,Sea,4-7 nights,55-64,0.15627408,0.625096322,0.104953672
2009,France,Holiday,Sea,4-7 nights,65+,0.234411121,0.937644482,0.158649446
2009,France,Holiday,Sea,8-14 nights,0-15,0.086911884,0.779159297,0.022130653
2009,France,Holiday,Sea,8-14 nights,25-34,2.726337144,10.86285878,0.886647805
2009,France,Holiday,Sea,8-14 nights,35-44,1.363167866,14.93642309,0.5670012
2009,France,Holiday,Sea,8-14 nights,45-54,1.536991635,5.545315271,0.532545225
2009,France,Holiday,Sea,8-14 nights,55-64,3.453385131,6.879859864,0.682844322
2009,France,Holiday,Sea,15+ nights,35-44,1.450079751,14.09800597,0.279944504
2009,France,Holiday,Sea,15+ nights,55-64,1.620366299,14.52647675,1.672699019
2009,France,Holiday,Tunnel,4-7 nights,25-34,1.124615774,2.240468014,0.112431238
2009,France,Holiday,Tunnel,8-14 nights,35-44,1.801412698,12.77382144,0.267107073
2009,France,Holiday,Tunnel,8-14 nights,55-64,1.038068212,6.204141929,0.45542768
2009,France,Business,Air,1-3 nights,35-44,1.286536641,2.691071628,0.415602706
2009,France,Business,Air,1-3 nights,45-54,1.079784428,1.040230415,0.132192338
2009,France,Business,Air,4-7 nights,25-34,0.484282378,2.763143754,0.334720594
2009,France,Business,Air,4-7 nights,35-44,0.537447041,2.07103842,0.113170529
2009,France,Business,Sea,1-3 nights,25-34,2.70453588,2.626243042,0.013768616
2009,France,Business,Sea,1-3 nights,45-54,1.607408976,4.682629654,0.032732857
2009,France,Business,Tunnel,1-3 nights,35-44,2.452535877,4.763076231,0.0499428
2009,France,Business,Tunnel,4-7 nights,35-44,1.115622739,7.58328826,0.11359125
2009,France,VFR,Air,1-3 nights,25-34,1.022037448,2.029846188,0.311585988
2009,France,VFR,Air,1-3 nights,45-54,0.469328318,0.932122692,0.007057893
2009,France,VFR,Air,4-7 nights,0-15,1.084948283,5.386980049,0.081578812
2009,France,VFR,Air,4-7 nights,16-24,2.103630483,8.355948845,0.453434949
2009,France,VFR,Air,4-7 nights,25-34,0.098910469,0.491109788,0.021320029
2009,France,VFR,Air,4-7 nights,35-44,0.963622965,6.698406621,0.135251551
2009,France,VFR,Air,4-7 nights,45-54,1.778996243,11.40937392,0.513510008
2009,France,VFR,Air,4-7 nights,55-64,3.967039185,23.86759148,1.442364484
2009,France,VFR,Air,8-14 nights,16-24,0.385808902,3.448109743,0.083160632
2009,France,VFR,Air,8-14 nights,45-54,3.559860768,42.43512462,1.157230911
2009,France,VFR,Sea,1-3 nights,55-64,1.689053954,3.327828839,1.67747348
2009,France,VFR,Sea,4-7 nights,0-15,2.524108305,17.40577994,0.130353732
2009,France,VFR,Sea,4-7 nights,35-44,1.500173976,10.34491985,0.2979777
2009,France,VFR,Sea,8-14 nights,45-54,0.106827897,0.947141028,0.045939336
2009,France,VFR,Sea,8-14 nights,65+,0.597846384,3.53368896,0.113351783
2009,France,VFR,Sea,15+ nights,35-44,0.090596097,1.874201338,0.0
2009,France,VFR,Tunnel,15+ nights,55-64,2.164144268,87.40927698,0.0
2009,France,Study,Air,15+ nights,16-24,1.281381188,40.87811432,0.594545767
2009,France,Other,Air,4-7 nights,55-64,0.417728142,1.546805724,0.297643229
2009,France,Holiday,Air,1-3 nights,25-34,1.666505115,5.195305023,0.466453437
2009,France,Holiday,Air,4-7 nights,25-34,4.770945495,24.78891991,1.451285029
2009,France,Holiday,Air,4-7 nights,55-64,3.623032488,18.11516244,3.478111189
2009,France,Holiday,Air,8-14 nights,25-34,0.83997501,3.491479542,0.067173808
2009,France,Holiday,Sea,4-7 nights,45-54,1.480687979,2.832607922,0.22415104
2009,France,Holiday,Sea,8-14 nights,45-54,0.337924487,3.232306852,0.691732543
2009,France,Holiday,Tunnel,15+ nights,35-44,0.672979008,3.862297183,0.233229234
2009,France,Business,Air,1-3 nights,25-34,1.657170084,4.00023957,0.828875953
2009,France,Business,Air,1-3 nights,35-44,1.108513522,1.15052767,0.229583482
2009,France,Business,Air,4-7 nights,35-44,0.860338853,6.250627936,0.093726145
2009,France,Business,Air,4-7 nights,45-54,0.985114215,4.089805452,0.526375581
2009,France,Business,Air,8-14 nights,25-34,0.860338853,8.92946848,0.013389449
2009,France,VFR,Air,1-3 nights,25-34,0.104154642,0.309300245,0.001570031
2009,France,VFR,Air,1-3 nights,35-44,0.189460354,0.375084155,0.02379944
2009,France,VFR,Air,1-3 nights,55-64,0.360665106,1.07104017,0.00543668
2009,France,VFR,Air,1-3 nights,65+,0.447398712,1.328606466,0.05170481
2009,France,VFR,Air,4-7 nights,16-24,0.278822407,1.931995407,0.060242711
2009,France,VFR,Air,4-7 nights,35-44,3.740674135,14.81119998,0.808214645
2009,France,VFR,Air,4-7 nights,45-54,1.165765297,4.315557424,0.613927364
2009,France,VFR,Air,4-7 nights,65+,0.948138859,5.631234,0.014292282
2009,France,VFR,Sea,4-7 nights,45-54,3.933079676,15.67502001,0.0
2009,France,VFR,Sea,8-14 nights,35-44,2.825681148,33.78467677,2.910527393
2009,France,VFR,Tunnel,4-7 nights,0-15,1.832606291,10.33963886,0.252439955
2009,France,VFR,Tunnel,8-14 nights,65+,1.214403075,3.629940289,0.161487497
2009,France,Other,Air,15+ nights,16-24,0.823205881,35.16586391,0.094825798
2010,France,Holiday,Air,1-3 nights,25-34,0.244330932,0.476417275,0.056821182
2010,France,Holiday,Air,4-7 nights,16-24,3.119758025,21.29109532,0.453453484
2010,France,Holiday,Air,4-7 nights,25-34,1.189597493,4.639157159,0.494870957
2010,France,Holiday,Air,4-7 nights,35-44,0.236200782,1.611975458,0.027228455
2010,France,Holiday,Air,4-7 nights,55-64,2.559803457,9.982645896,1.193172963
2010,France,Holiday,Air,8-14 nights,45-54,0.344862687,0.67244266,0.011369444
2010,France,Business,Air,1-3 nights,25-34,4.557708091,9.115416182,2.618403298
2010,France,Business,Air,1-3 nights,35-44,1.398495456,2.749017988,0.434001656
2010,France,Business,Air,8-14 nights,25-34,0.536853511,2.110582416,0.306869219
2010,France,Business,Air,15+ nights,35-44,1.398495456,175.9371513,4.114060138
2010,France,VFR,Air,1-3 nights,16-24,0.317418208,0.305102677,0.012499691
2010,France,VFR,Air,1-3 nights,25-34,2.784332877,5.352606715,2.755937688
2010,France,VFR,Air,4-7 nights,35-44,0.610881403,2.348719098,0.099231212
2010,France,VFR,Air,4-7 nights,45-54,0.23780443,1.600044882,0.02692311
2010,France,VFR,Air,8-14 nights,65+,0.563890119,7.046152212,0.202625825
2010,France,VFR,Air,15+ nights,16-24,3.09599414,62.49332154,0.960103671
2010,France,VFR,Air,15+ nights,25-34,2.992974458,48.90644728,3.285377849
2010,France,VFR,Air,15+ nights,55-64,0.610881403,14.67949436,0.069161148
2010,France,VFR,Sea,15+ nights,55-64,0.274429455,1.649108432,0.0
2010,France,Other,Air,1-3 nights,35-44,0.507552882,0.986249223,0.093020745
2010,France,Other,Air,4-7 nights,65+,0.561851212,2.729396979,0.229141353
2010,France,Holiday,Air,1-3 nights,35-44,2.345986207,7.063570553,0.960184292
2010,France,Holiday,Air,4-7 nights,0-15,4.654494593,23.35716414,1.806797089
2010,France,Holiday,Air,4-7 nights,16-24,6.134790156,29.33750845,3.590517614
2010,France,Holiday,Air,4-7 nights,25-34,0.189222692,1.329379066,0.049453853
2010,France,Holiday,Air,4-7 nights,45-54,2.04079539,14.28556773,1.538759724
2010,France,Holiday,Air,4-7 nights,55-64,2.04079539,14.28556773,1.793859148
2010,France,Holiday,Air,4-7 nights,65+,0.148145364,1.03701755,0.137034462
2010,France,Holiday,Air,8-14 nights,25-34,3.666891542,21.87654285,1.238072131
2010,France,Holiday,Air,8-14 nights,55-64,2.345986207,32.96332925,3.491368906
2010,France,Holiday,Air,15+ nights,25-34,0.589390273,8.873026965,0.738804548
2010,France,Holiday,Sea,4-7 nights,0-15,0.323324419,1.416263551,0.047457324
2010,France,Holiday,Sea,4-7 nights,16-24,0.606672242,3.336697333,0.073559009
2010,France,Holiday,Sea,4-7 nights,25-34,1.224605865,7.691161158,0.500180159
2010,France,Holiday,Sea,4-7 nights,35-44,0.151668061,1.061676424,0.043680401
2010,France,Holiday,Sea,8-14 nights,0-15,0.151668061,2.123352848,0.082507425
2010,France,Holiday,Sea,8-14 nights,45-54,1.398481923,10.55316629,0.370779403
2010,France,Holiday,Tunnel,8-14 nights,25-34,1.330334777,8.784052478,0.640882145
2010,France,Business,Air,1-3 nights,25-34,0.90757143,1.783258204,0.282251287
2010,France,Business,Air,1-3 nights,35-44,0.516199124,1.521394835,0.00764457
2010,France,Business,Air,1-3 nights,45-54,1.939969679,4.826047874,0.170779624
2010,France,Business,Air,1-3 nights,55-64,1.032398249,3.04278967,0.133525163
2010,France,Business,Air,4-7 nights,16-24,0.169246235,1.163912882,0.278213254
2010,France,Business,Air,4-7 nights,25-34,0.589002014,2.893278255,0.241328958
2010,France,Business,Air,15+ nights,65+,0.527167663,17.09094678,2.610142761
2010,France,VFR,Air,1-3 nights,16-24,0.533070672,1.080487225,0.093444631
2010,France,VFR,Air,1-3 nights,25-34,4.081171803,10.21220569,1.66549787
2010,France,VFR,Air,1-3 nights,55-64,0.755557068,1.531447521,0.284568373
2010,France,VFR,Air,4-7 nights,0-15,1.332676681,8.103654186,0.100119247
2010,France,VFR,Air,4-7 nights,16-24,1.812181876,9.387188079,0.328712424
2010,France,VFR,Air,4-7 nights,25-34,2.686274992,10.88968484,0.868961873
2010,France,VFR,Air,4-7 nights,45-54,2.699970222,19.15410506,2.145747032
2010,France,VFR,Air,4-7 nights,55-64,0.533070672,3.781705287,0.048057239
2010,France,VFR,Air,4-7 nights,65+,0.533070672,2.160974449,0.061406472
2010,France,VFR,Sea,4-7 nights,35-44,0.167815339,0.663490052,0.034544422
2010,France,VFR,Tunnel,4-7 nights,65+,0.846804113,5.022003122,0.186763697
2010,France,Other,Air,4-7 nights,45-54,0.468200133,1.611796253,0.106329645
2010,France,Holiday,Air,1-3 nights,16-24,1.994768627,2.009065122,0.142566141
2010,France,Holiday,Air,4-7 nights,16-24,4.385167627,28.92384342,1.731029362
2010,France,Holiday,Air,4-7 nights,25-34,3.856058622,22.05732179,2.056528117
2010,France,Holiday,Air,4-7 nights,35-44,2.469954932,13.28642515,0.969607031
2010,France,Holiday,Air,4-7 nights,45-54,8.069523796,54.6959977,5.442076755
2010,France,Holiday,Air,4-7 nights,55-64,3.143271776,12.66319835,1.852576169
2010,France,Holiday,Air,4-7 nights,65+,1.788969791,10.81074796,0.849212971
2010,France,Holiday,Air,8-14 nights,16-24,4.889769634,45.84446678,1.954796674
2010,France,Holiday,Air,8-14 nights,25-34,0.395630373,5.578521943,0.163736077
2010,France,Holiday,Air,8-14 nights,35-44,2.644303259,27.01657013,1.253075778
2010,France,Holiday,Air,8-14 nights,45-54,2.29017397,24.18237393,2.385518106
2010,France,Holiday,Air,8-14 nights,55-64,1.858154608,16.72339147,2.014408519
2010,France,Holiday,Air,15+ nights,16-24,0.786148651,15.0438765,0.482154749
2010,France,Holiday,Air,15+ nights,25-34,1.867702645,36.33572573,0.96397796
2010,France,Holiday,Air,15+ nights,65+,1.994768627,60.27195367,5.599865391
2010,France,Holiday,Sea,4-7 nights,45-54,0.325828069,2.390751876,0.165754459
2010,France,Holiday,Sea,8-14 nights,16-24,2.066457726,17.32864014,0.573978855
2010,France,Holiday,Sea,8-14 nights,25-34,0.325828069,3.07382384,0.066301784
2010,France,Holiday,Sea,8-14 nights,35-44,0.192395614,2.823391961,0.069687019
2010,France,Holiday,Sea,8-14 nights,45-54,2.852542476,40.77781737,2.541733561
2010,France,Holiday,Sea,8-14 nights,55-64,0.192395614,2.016708544,0.024468757
2010,France,Holiday,Sea,15+ nights,0-15,1.493484885,6.261938436,0.281163471
2010,France,Holiday,Sea,15+ nights,45-54,6.579832204,82.57948915,3.206077353
2010,France,Holiday,Tunnel,1-3 nights,45-54,1.312724755,2.752020353,0.0
2010,France,Holiday,Tunnel,15+ nights,0-15,4.672633512,98.12530375,3.256825558
2010,France,Business,Air,4-7 nights,55-64,0.974814065,3.731345481,0.392696516
2010,France,Business,Air,15+ nights,25-34,1.331793558,31.86108799,1.312170038
2010,France,VFR,Air,1-3 nights,35-44,0.594104113,1.733122312,0.026654714
2010,France,VFR,Air,4-7 nights,25-34,0.494468388,2.404107791,0.303191713
2010,France,VFR,Air,4-7 nights,55-64,0.494468388,2.404107791,0.213959681
2010,France,VFR,Air,4-7 nights,65+,0.494468388,2.404107791,0.17254813
2010,France,VFR,Air,8-14 nights,35-44,0.180971692,1.407816445,0.025260524
2010,France,VFR,Air,8-14 nights,45-54,0.494468388,5.289037139,0.179943049
2010,France,VFR,Air,15+ nights,35-44,0.657952988,10.23670636,0.447386544
2010,France,VFR,Air,15+ nights,65+,0.707861827,11.01320885,0.134877066
