year,units,value,method_of_travel,breakdown_of_domestic_tourism,transport_type
2018,million pounds (GBP),2.1,Boat/Ship/Ferry,Expenditure,Boat
2013,million pounds (GBP),12.2,Boat/Ship/Ferry,Expenditure,Boat
2013,million pounds (GBP),629.5,Bus or Coach - Regular,Expenditure,Bus
2015,million pounds (GBP),16.1,Boat/Ship/Ferry,Expenditure,Boat
2014,million pounds (GBP),677.3,Bus or Coach - Regular,Expenditure,Bus
2016,million pounds (GBP),2.4,Boat/Ship/Ferry,Expenditure,Boat
2019,million pounds (GBP),27.7,Boat/Ship/Ferry,Expenditure,Boat
2016,million pounds (GBP),414.7,Bus or Coach - Regular,Expenditure,Bus
2013,million pounds (GBP),2.9,Bus or Coach - Minibus,Expenditure,Bus
2016,million pounds (GBP),4.3,Lorry/Truck/Van,Expenditure,Other
2015,million pounds (GBP),27.6,Bus or Coach - Minibus,Expenditure,Bus
2017,million pounds (GBP),10.7,Caravan/Campervan,Expenditure,Other
2019,million pounds (GBP),24.2,Caravan/Campervan,Expenditure,Other
2019,million pounds (GBP),114.8,Bus or Coach - Organised Tour,Expenditure,Bus
2018,million pounds (GBP),13.3,Bus or Coach - Organised Tour,Expenditure,Bus
2015,million pounds (GBP),73.8,Bus or Coach - Organised Tour,Expenditure,Bus
2017,million pounds (GBP),435.9,Bus or Coach - Regular,Expenditure,Bus
2013,million pounds (GBP),104.8,Bus or Coach - Organised Tour,Expenditure,Bus
2014,million pounds (GBP),27.5,Caravan/Campervan,Expenditure,Other
2016,million pounds (GBP),38.1,Caravan/Campervan,Expenditure,Other
2015,million pounds (GBP),11.8,Caravan/Campervan,Expenditure,Other
2017,million pounds (GBP),106.4,Bus or Coach - Organised Tour,Expenditure,Bus
2013,million pounds (GBP),5.1,Caravan/Campervan,Expenditure,Other
2016,million pounds (GBP),59.2,Bus or Coach - Organised Tour,Expenditure,Bus
2014,million pounds (GBP),16.2,Bus or Coach - Organised Tour,Expenditure,Bus
2014,million pounds (GBP),3.5,Other,Expenditure,Other
2015,million pounds (GBP),9.5,Other,Expenditure,Other
2017,million pounds (GBP),46.7,Other,Expenditure,Other
2019,million pounds (GBP),30.7,Other,Expenditure,Other
2016,million pounds (GBP),762.8,Train,Expenditure,Rail
2017,million pounds (GBP),10.4,Tube,Expenditure,Rail
2018,million pounds (GBP),4.3,Tube,Expenditure,Rail
2013,million pounds (GBP),40.8,Tube,Expenditure,Rail
2013,million pounds (GBP),0.4,Lorry/Truck/Van,Expenditure,Other
2017,million pounds (GBP),9.7,Lorry/Truck/Van,Expenditure,Other
2016,million pounds (GBP),4916.1,All,Expenditure,All
2015,million pounds (GBP),4.3,Lorry/Truck/Van,Expenditure,Other
2019,million pounds (GBP),6.5,Lorry/Truck/Van,Expenditure,Other
2016,million pounds (GBP),21.4,Other,Expenditure,Other
2014,million pounds (GBP),0.2,Lorry/Truck/Van,Expenditure,Other
2018,million pounds (GBP),131.9,Car - hired,Expenditure,Car
2017,million pounds (GBP),254.1,Car - hired,Expenditure,Car
2019,million pounds (GBP),138.9,Car - hired,Expenditure,Car
2015,million pounds (GBP),46.0,Car - hired,Expenditure,Car
2013,million pounds (GBP),31.4,Car - hired,Expenditure,Car
2015,million pounds (GBP),0.9,Tube,Expenditure,Rail
2014,million pounds (GBP),5.3,Tube,Expenditure,Rail
2019,million pounds (GBP),23.6,Tube,Expenditure,Rail
2019,million pounds (GBP),866.6,Train,Expenditure,Rail
2015,million pounds (GBP),581.7,Train,Expenditure,Rail
2016,million pounds (GBP),6.1,Tube,Expenditure,Rail
2013,million pounds (GBP),635.9,Train,Expenditure,Rail
2017,million pounds (GBP),1276.3,Train,Expenditure,Rail
2014,million pounds (GBP),66.0,Car - hired,Expenditure,Car
2018,million pounds (GBP),855.4,Train,Expenditure,Rail
2017,million pounds (GBP),3324.9,Car - own/friends/family,Expenditure,Car
2019,million pounds (GBP),3554.1,Car - own/friends/family,Expenditure,Car
2014,million pounds (GBP),2922.2,Car - own/friends/family,Expenditure,Car
2018,million pounds (GBP),3269.8,Car - own/friends/family,Expenditure,Car
2019,million pounds (GBP),3.9,Tram,Expenditure,Rail
2014,million pounds (GBP),2.9,Bicycle,Expenditure,Other
2013,million pounds (GBP),0.0,Tram,Expenditure,Rail
